Web Search Interest
France; 2004 - present

Interest over time
Week,Hair Care
2011-07-10 - 2011-07-16,+57%
2011-07-17 - 2011-07-23,+64%
2011-07-24 - 2011-07-30,+67%
2011-07-31 - 2011-08-06,+79%
2011-08-07 - 2011-08-13,+83%
2011-08-14 - 2011-08-20,+88%
2011-08-21 - 2011-08-27,+100%
2011-08-28 - 2011-09-03,+100%
2011-09-04 - 2011-09-10,+76%
2011-09-11 - 2011-09-17,+76%
2011-09-18 - 2011-09-24,+67%
2011-09-25 - 2011-10-01,+71%
2011-10-02 - 2011-10-08,+62%
2011-10-09 - 2011-10-15,+64%
2011-10-16 - 2011-10-22,+64%
2011-10-23 - 2011-10-29,+76%
2011-10-30 - 2011-11-05,+71%
2011-11-06 - 2011-11-12,+67%
2011-11-13 - 2011-11-19,+57%
2011-11-20 - 2011-11-26,+62%
2011-11-27 - 2011-12-03,+71%
2011-12-04 - 2011-12-10,+79%
2011-12-11 - 2011-12-17,+81%
2011-12-18 - 2011-12-24,+98%
2011-12-25 - 2011-12-31,+88%
2012-01-01 - 2012-01-07,+57%
2012-01-08 - 2012-01-14,+62%
2012-01-15 - 2012-01-21,+64%
2012-01-22 - 2012-01-28,+67%
2012-01-29 - 2012-02-04,+67%
2012-02-05 - 2012-02-11,+81%
2012-02-12 - 2012-02-18,+81%
2012-02-19 - 2012-02-25,+88%
2012-02-26 - 2012-03-03,+95%
2012-03-04 - 2012-03-10,+86%
2012-03-11 - 2012-03-17,+83%
2012-03-18 - 2012-03-24,+76%
2012-03-25 - 2012-03-31,+69%
2012-04-01 - 2012-04-07,+83%
2012-04-08 - 2012-04-14,+93%
2012-04-15 - 2012-04-21,+100%
2012-04-22 - 2012-04-28,+100%
2012-04-29 - 2012-05-05,+93%
2012-05-06 - 2012-05-12,+93%
2012-05-13 - 2012-05-19,+93%
2012-05-20 - 2012-05-26,+93%
2012-05-27 - 2012-06-02,+83%
2012-06-03 - 2012-06-09,+93%
2012-06-10 - 2012-06-16,+90%
2012-06-17 - 2012-06-23,+86%
2012-06-24 - 2012-06-30,+86%
2012-07-01 - 2012-07-07,+83%
2012-07-08 - 2012-07-14,+86%
2012-07-15 - 2012-07-21,+102%
2012-07-22 - 2012-07-28,+90%
2012-07-29 - 2012-08-04,+105%
2012-08-05 - 2012-08-11,+107%
2012-08-12 - 2012-08-18,+110%
2012-08-19 - 2012-08-25,+124%
2012-08-26 - 2012-09-01,+138%
2012-09-02 - 2012-09-08,+110%
2012-09-09 - 2012-09-15,+98%
2012-09-16 - 2012-09-22,+93%
2012-09-23 - 2012-09-29,+98%
2012-09-30 - 2012-10-06,+98%
2012-10-07 - 2012-10-13,+90%
2012-10-14 - 2012-10-20,+86%
2012-10-21 - 2012-10-27,+90%
2012-10-28 - 2012-11-03,+107%
2012-11-04 - 2012-11-10,+112%
2012-11-11 - 2012-11-17,+81%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
cheveux,100
coiffure,60
coupe,35
coupe cheveux,30
coupe de cheveux,20
coiffeur,15
hair,10
cheveux long,10
coiffures,5
coloration,5
frange,5
coupe cheveux femme,5
chignon,5
couleur cheveux,5
chute,5
cheveu,5
extension,5
salon de coiffure,5
shampoing,5
coupe cheveux long,5



Rising searches
coupe cheveux femme,+600%
frange,+600%
coupe cheveux long,+550%
cheveux long,+350%
extension,+200%
coiffure femme,+130%
couleur cheveux,+90%
chignon,+80%
coupe,+60%
coupe cheveux,+60%



