Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Tobacco Products
2010-01-17 - 2010-01-23,-63%
2010-01-24 - 2010-01-30,-56%
2010-01-31 - 2010-02-06,-48%
2010-02-07 - 2010-02-13,-60%
2010-02-14 - 2010-02-20,-62%
2010-02-21 - 2010-02-27,-61%
2010-02-28 - 2010-03-06,-66%
2010-03-07 - 2010-03-13,-58%
2010-03-14 - 2010-03-20,-58%
2010-03-21 - 2010-03-27,-57%
2010-03-28 - 2010-04-03,-66%
2010-04-04 - 2010-04-10,-61%
2010-04-11 - 2010-04-17,-65%
2010-04-18 - 2010-04-24,-57%
2010-04-25 - 2010-05-01,-63%
2010-05-02 - 2010-05-08,-59%
2010-05-09 - 2010-05-15,-59%
2010-05-16 - 2010-05-22,-61%
2010-05-23 - 2010-05-29,-62%
2010-05-30 - 2010-06-05,-55%
2010-06-06 - 2010-06-12,-57%
2010-06-13 - 2010-06-19,-66%
2010-06-20 - 2010-06-26,-67%
2010-06-27 - 2010-07-03,-68%
2010-07-04 - 2010-07-10,-66%
2010-07-11 - 2010-07-17,-63%
2010-07-18 - 2010-07-24,-55%
2010-07-25 - 2010-07-31,-66%
2010-08-01 - 2010-08-07,-56%
2010-08-08 - 2010-08-14,-55%
2010-08-15 - 2010-08-21,-63%
2010-08-22 - 2010-08-28,-59%
2010-08-29 - 2010-09-04,-65%
2010-09-05 - 2010-09-11,-61%
2010-09-12 - 2010-09-18,-64%
2010-09-19 - 2010-09-25,-58%
2010-09-26 - 2010-10-02,-70%
2010-10-03 - 2010-10-09,-56%
2010-10-10 - 2010-10-16,-58%
2010-10-17 - 2010-10-23,-57%
2010-10-24 - 2010-10-30,-54%
2010-10-31 - 2010-11-06,-59%
2010-11-07 - 2010-11-13,-48%
2010-11-14 - 2010-11-20,-62%
2010-11-21 - 2010-11-27,-52%
2010-11-28 - 2010-12-04,-59%
2010-12-05 - 2010-12-11,-53%
2010-12-12 - 2010-12-18,-54%
2010-12-19 - 2010-12-25,-55%
2010-12-26 - 2011-01-01,-56%
2011-01-02 - 2011-01-08,-55%
2011-01-09 - 2011-01-15,-58%
2011-01-16 - 2011-01-22,-60%
2011-01-23 - 2011-01-29,-56%
2011-01-30 - 2011-02-05,-50%
2011-02-06 - 2011-02-12,-56%
2011-02-13 - 2011-02-19,-58%
2011-02-20 - 2011-02-26,-59%
2011-02-27 - 2011-03-05,-57%
2011-03-06 - 2011-03-12,-59%
2011-03-13 - 2011-03-19,-58%
2011-03-20 - 2011-03-26,-56%
2011-03-27 - 2011-04-02,-50%
2011-04-03 - 2011-04-09,-57%
2011-04-10 - 2011-04-16,-58%
2011-04-17 - 2011-04-23,-63%
2011-04-24 - 2011-04-30,-55%
2011-05-01 - 2011-05-07,-59%
2011-05-08 - 2011-05-14,-56%
2011-05-15 - 2011-05-21,-57%
2011-05-22 - 2011-05-28,-60%
2011-05-29 - 2011-06-04,-60%
2011-06-05 - 2011-06-11,-56%
2011-06-12 - 2011-06-18,-60%
2011-06-19 - 2011-06-25,-57%
2011-06-26 - 2011-07-02,-65%
2011-07-03 - 2011-07-09,-62%
2011-07-10 - 2011-07-16,-62%
2011-07-17 - 2011-07-23,-63%
2011-07-24 - 2011-07-30,-55%
2011-07-31 - 2011-08-06,-51%
2011-08-07 - 2011-08-13,-58%
2011-08-14 - 2011-08-20,-62%
2011-08-21 - 2011-08-27,-60%
2011-08-28 - 2011-09-03,-60%
2011-09-04 - 2011-09-10,-53%
2011-09-11 - 2011-09-17,-57%
2011-09-18 - 2011-09-24,-59%
2011-09-25 - 2011-10-01,-60%
2011-10-02 - 2011-10-08,-59%
2011-10-09 - 2011-10-15,-61%
2011-10-16 - 2011-10-22,-50%
2011-10-23 - 2011-10-29,-60%
2011-10-30 - 2011-11-05,-62%
2011-11-06 - 2011-11-12,-60%
2011-11-13 - 2011-11-19,-55%
2011-11-20 - 2011-11-26,-58%
2011-11-27 - 2011-12-03,-58%
2011-12-04 - 2011-12-10,-55%
2011-12-11 - 2011-12-17,-57%
2011-12-18 - 2011-12-24,-53%
2011-12-25 - 2011-12-31,-60%
2012-01-01 - 2012-01-07,-54%
2012-01-08 - 2012-01-14,-54%
2012-01-15 - 2012-01-21,-60%
2012-01-22 - 2012-01-28,-56%
2012-01-29 - 2012-02-04,-59%
2012-02-05 - 2012-02-11,-63%
2012-02-12 - 2012-02-18,-63%
2012-02-19 - 2012-02-25,-55%
2012-02-26 - 2012-03-03,-55%
2012-03-04 - 2012-03-10,-58%
2012-03-11 - 2012-03-17,-55%
2012-03-18 - 2012-03-24,-53%
2012-03-25 - 2012-03-31,-53%
2012-04-01 - 2012-04-07,-56%
2012-04-08 - 2012-04-14,-60%
2012-04-15 - 2012-04-21,-57%
2012-04-22 - 2012-04-28,-58%
2012-04-29 - 2012-05-05,-60%
2012-05-06 - 2012-05-12,-56%
2012-05-13 - 2012-05-19,-61%
2012-05-20 - 2012-05-26,-59%
2012-05-27 - 2012-06-02,-55%
2012-06-03 - 2012-06-09,-62%
2012-06-10 - 2012-06-16,-59%
2012-06-17 - 2012-06-23,-64%
2012-06-24 - 2012-06-30,-60%
2012-07-01 - 2012-07-07,-60%
2012-07-08 - 2012-07-14,-58%
2012-07-15 - 2012-07-21,-59%
2012-07-22 - 2012-07-28,-62%
2012-07-29 - 2012-08-04,-54%
2012-08-05 - 2012-08-11,-59%
2012-08-12 - 2012-08-18,-55%
2012-08-19 - 2012-08-25,-51%
2012-08-26 - 2012-09-01,-58%
2012-09-02 - 2012-09-08,-48%
2012-09-09 - 2012-09-15,-57%
2012-09-16 - 2012-09-22,-60%
2012-09-23 - 2012-09-29,-56%
2012-09-30 - 2012-10-06,-64%
2012-10-07 - 2012-10-13,-55%
2012-10-14 - 2012-10-20,-56%
2012-10-21 - 2012-10-27,-59%
2012-10-28 - 2012-11-03,-62%
2012-11-04 - 2012-11-10,-59%
2012-11-11 - 2012-11-17,-63%
2012-11-18 - 2012-11-24,-58%
2012-11-25 - 2012-12-01, 



Top searches
tabaco,100
marlboro,30
enrolar,30
cigarros,30
tabaco enrolar,25
tabaco de enrolar,20
zippo,20
jardim do tabaco,15
camel,15
cachimbo,15
tabacaria,15
jardim tabaco,15
charutos,15
chicha,15
tobacco,15
shisha,15
cigarettes,10
xixa,10
smoking,10
cigarro,10



Rising searches
cachimbo,Breakout
chicha,Breakout
enrolar,Breakout
jardim do tabaco,Breakout
jardim tabaco,Breakout
tabacaria,Breakout
tabaco de enrolar,Breakout
tabaco enrolar,Breakout
tobacco,Breakout
zippo,Breakout



