Web Search Interest,
United States; 2004 - present,
,
Interest over time,
Week,Fantasy Sports
fantasy football rankings,5
dt,5
cbs fantasy football,5
espn deportes,5
univision,5
,
,
,
Rising searches,
gran dt,Breakout
univision deportes,Breakout
espn fantasy football,150%
dt,800%
espn fantasy,700%
univision,700%
espn,450%
espn deportes,400%
cbs fantasy football,200%
cbs fantasy,170%
