Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Banking
2011-08-21 - 2011-08-27,+130%
2011-08-28 - 2011-09-03,+155%
2011-09-04 - 2011-09-10,+130%
2011-09-11 - 2011-09-17,+121%
2011-09-18 - 2011-09-24,+124%
2011-09-25 - 2011-10-01,+152%
2011-10-02 - 2011-10-08,+142%
2011-10-09 - 2011-10-15,+133%
2011-10-16 - 2011-10-22,+112%
2011-10-23 - 2011-10-29,+121%
2011-10-30 - 2011-11-05,+142%
2011-11-06 - 2011-11-12,+118%
2011-11-13 - 2011-11-19,+100%
2011-11-20 - 2011-11-26,+118%
2011-11-27 - 2011-12-03,+148%
2011-12-04 - 2011-12-10,+133%
2011-12-11 - 2011-12-17,+133%
2011-12-18 - 2011-12-24,+158%
2011-12-25 - 2011-12-31,+188%
2012-01-01 - 2012-01-07,+179%
2012-01-08 - 2012-01-14,+130%
2012-01-15 - 2012-01-21,+124%
2012-01-22 - 2012-01-28,+124%
2012-01-29 - 2012-02-04,+164%
2012-02-05 - 2012-02-11,+145%
2012-02-12 - 2012-02-18,+139%
2012-02-19 - 2012-02-25,+139%
2012-02-26 - 2012-03-03,+161%
2012-03-04 - 2012-03-10,+139%
2012-03-11 - 2012-03-17,+127%
2012-03-18 - 2012-03-24,+127%
2012-03-25 - 2012-03-31,+139%
2012-04-01 - 2012-04-07,+139%
2012-04-08 - 2012-04-14,+136%
2012-04-15 - 2012-04-21,+121%
2012-04-22 - 2012-04-28,+130%
2012-04-29 - 2012-05-05,+167%
2012-05-06 - 2012-05-12,+145%
2012-05-13 - 2012-05-19,+133%
2012-05-20 - 2012-05-26,+127%
2012-05-27 - 2012-06-02,+155%
2012-06-03 - 2012-06-09,+142%
2012-06-10 - 2012-06-16,+130%
2012-06-17 - 2012-06-23,+133%
2012-06-24 - 2012-06-30,+167%
2012-07-01 - 2012-07-07,+176%
2012-07-08 - 2012-07-14,+148%
2012-07-15 - 2012-07-21,+148%
2012-07-22 - 2012-07-28,+164%
2012-07-29 - 2012-08-04,+203%
2012-08-05 - 2012-08-11,+179%
2012-08-12 - 2012-08-18,+155%
2012-08-19 - 2012-08-25,+155%
2012-08-26 - 2012-09-01,+170%
