Web Search Interest
United States; 2004 - present

Interest over time
Week,Puzzles & Brainteasers
2009-01-18 - 2009-01-24,+34%
2009-01-25 - 2009-01-31,+40%
2009-02-01 - 2009-02-07,+40%
2009-02-08 - 2009-02-14,+40%
2009-02-15 - 2009-02-21,+42%
2009-02-22 - 2009-02-28,+44%
2009-03-01 - 2009-03-07,+42%
2009-03-08 - 2009-03-14,+44%
2009-03-15 - 2009-03-21,+42%
2009-03-22 - 2009-03-28,+46%
2009-03-29 - 2009-04-04,+40%
2009-04-05 - 2009-04-11,+40%
2009-04-12 - 2009-04-18,+32%
2009-04-19 - 2009-04-25,+40%
2009-04-26 - 2009-05-02,+38%
2009-05-03 - 2009-05-09,+34%
2009-05-10 - 2009-05-16,+40%
2009-05-17 - 2009-05-23,+40%
2009-05-24 - 2009-05-30,+34%
2009-05-31 - 2009-06-06,+28%
2009-06-07 - 2009-06-13,+20%
2009-06-14 - 2009-06-20,+20%
2009-06-21 - 2009-06-27,+16%
2009-06-28 - 2009-07-04,+16%
2009-07-05 - 2009-07-11,+14%
2009-07-12 - 2009-07-18,+14%
2009-07-19 - 2009-07-25,+14%
2009-07-26 - 2009-08-01,+14%
2009-08-02 - 2009-08-08,+10%
2009-08-09 - 2009-08-15,+10%
2009-08-16 - 2009-08-22,+12%
2009-08-23 - 2009-08-29,+18%
2009-08-30 - 2009-09-05,+20%
2009-09-06 - 2009-09-12,+20%
2009-09-13 - 2009-09-19,+20%
2009-09-20 - 2009-09-26,+20%
2009-09-27 - 2009-10-03,+14%
2009-10-04 - 2009-10-10,+16%
2009-10-11 - 2009-10-17,+18%
2009-10-18 - 2009-10-24,+24%
2009-10-25 - 2009-10-31,+22%
2009-11-01 - 2009-11-07,+22%
2009-11-08 - 2009-11-14,+22%
2009-11-15 - 2009-11-21,+26%
2009-11-22 - 2009-11-28,+24%
2009-11-29 - 2009-12-05,+22%
2009-12-06 - 2009-12-12,+26%
2009-12-13 - 2009-12-19,+32%
2009-12-20 - 2009-12-26,+28%
2009-12-27 - 2010-01-02,+20%
2010-01-03 - 2010-01-09,+18%
2010-01-10 - 2010-01-16,+18%
2010-01-17 - 2010-01-23,+14%
2010-01-24 - 2010-01-30,+16%
2010-01-31 - 2010-02-06,+16%
2010-02-07 - 2010-02-13,+16%
2010-02-14 - 2010-02-20,+10%
2010-02-21 - 2010-02-27,+16%
2010-02-28 - 2010-03-06,+16%
2010-03-07 - 2010-03-13,+16%
2010-03-14 - 2010-03-20,+16%
2010-03-21 - 2010-03-27,+14%
2010-03-28 - 2010-04-03,+16%
2010-04-04 - 2010-04-10,+12%
2010-04-11 - 2010-04-17,+12%
2010-04-18 - 2010-04-24,+12%
2010-04-25 - 2010-05-01,+12%
2010-05-02 - 2010-05-08,+12%
2010-05-09 - 2010-05-15,+16%
2010-05-16 - 2010-05-22,+18%
2010-05-23 - 2010-05-29,+12%
2010-05-30 - 2010-06-05,+4%
2010-06-06 - 2010-06-12,+4%
2010-06-13 - 2010-06-19,-6%
2010-06-20 - 2010-06-26,-6%
2010-06-27 - 2010-07-03,-8%
2010-07-04 - 2010-07-10,-10%
2010-07-11 - 2010-07-17,-10%
2010-07-18 - 2010-07-24,-8%
2010-07-25 - 2010-07-31,-10%
2010-08-01 - 2010-08-07,-14%
2010-08-08 - 2010-08-14,-10%
2010-08-15 - 2010-08-21,-8%
2010-08-22 - 2010-08-28,-6%
2010-08-29 - 2010-09-04,-6%
2010-09-05 - 2010-09-11,-6%
2010-09-12 - 2010-09-18,-4%
2010-09-19 - 2010-09-25,-2%
2010-09-26 - 2010-10-02,-2%
2010-10-03 - 2010-10-09,+2%
2010-10-10 - 2010-10-16,+2%
2010-10-17 - 2010-10-23,+4%
2010-10-24 - 2010-10-30,+6%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,+2%
2010-11-14 - 2010-11-20,+4%
2010-11-21 - 2010-11-27,+4%
2010-11-28 - 2010-12-04,+2%
2010-12-05 - 2010-12-11,+8%
2010-12-12 - 2010-12-18,+10%
2010-12-19 - 2010-12-25,+4%
2010-12-26 - 2011-01-01,+0%
2011-01-02 - 2011-01-08,+2%
2011-01-09 - 2011-01-15,+2%
2011-01-16 - 2011-01-22,+2%
2011-01-23 - 2011-01-29,+4%
2011-01-30 - 2011-02-05,+4%
2011-02-06 - 2011-02-12,+2%
2011-02-13 - 2011-02-19,+4%
2011-02-20 - 2011-02-26,+8%
2011-02-27 - 2011-03-05,+10%
2011-03-06 - 2011-03-12,+8%
2011-03-13 - 2011-03-19,+2%
2011-03-20 - 2011-03-26,+10%
2011-03-27 - 2011-04-02,+8%
2011-04-03 - 2011-04-09,+8%
2011-04-10 - 2011-04-16,+12%
2011-04-17 - 2011-04-23,+10%
2011-04-24 - 2011-04-30,+10%
2011-05-01 - 2011-05-07,+4%
2011-05-08 - 2011-05-14,+10%
2011-05-15 - 2011-05-21,+10%
2011-05-22 - 2011-05-28,+10%
2011-05-29 - 2011-06-04,+4%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,-2%
2011-06-19 - 2011-06-25,-6%
2011-06-26 - 2011-07-02,-8%
2011-07-03 - 2011-07-09,-6%
2011-07-10 - 2011-07-16,-6%
2011-07-17 - 2011-07-23,-8%
2011-07-24 - 2011-07-30,-10%
2011-07-31 - 2011-08-06,-12%
2011-08-07 - 2011-08-13,-12%
2011-08-14 - 2011-08-20,-8%
2011-08-21 - 2011-08-27,-10%
2011-08-28 - 2011-09-03,-6%
2011-09-04 - 2011-09-10,-4%
2011-09-11 - 2011-09-17,-4%
2011-09-18 - 2011-09-24,+0%
2011-09-25 - 2011-10-01,-2%
2011-10-02 - 2011-10-08,+0%
2011-10-09 - 2011-10-15,+2%
2011-10-16 - 2011-10-22,+6%
2011-10-23 - 2011-10-29,+4%
2011-10-30 - 2011-11-05,+4%
2011-11-06 - 2011-11-12,+8%
2011-11-13 - 2011-11-19,+6%
