Web Search Interest
France; 2004 - present

Interest over time
Week,Family-Oriented Games & Activities
2010-02-07 - 2010-02-13,+167%
2010-02-14 - 2010-02-20,+190%
2010-02-21 - 2010-02-27,+190%
2010-02-28 - 2010-03-06,+167%
2010-03-07 - 2010-03-13,+167%
2010-03-14 - 2010-03-20,+157%
2010-03-21 - 2010-03-27,+162%
2010-03-28 - 2010-04-03,+167%
2010-04-04 - 2010-04-10,+186%
2010-04-11 - 2010-04-17,+176%
2010-04-18 - 2010-04-24,+167%
2010-04-25 - 2010-05-01,+157%
2010-05-02 - 2010-05-08,+138%
2010-05-09 - 2010-05-15,+162%
2010-05-16 - 2010-05-22,+129%
2010-05-23 - 2010-05-29,+148%
2010-05-30 - 2010-06-05,+129%
2010-06-06 - 2010-06-12,+129%
2010-06-13 - 2010-06-19,+143%
2010-06-20 - 2010-06-26,+148%
2010-06-27 - 2010-07-03,+157%
2010-07-04 - 2010-07-10,+167%
2010-07-11 - 2010-07-17,+162%
2010-07-18 - 2010-07-24,+157%
2010-07-25 - 2010-07-31,+157%
2010-08-01 - 2010-08-07,+186%
2010-08-08 - 2010-08-14,+181%
2010-08-15 - 2010-08-21,+181%
2010-08-22 - 2010-08-28,+167%
2010-08-29 - 2010-09-04,+162%
2010-09-05 - 2010-09-11,+152%
2010-09-12 - 2010-09-18,+138%
2010-09-19 - 2010-09-25,+148%
2010-09-26 - 2010-10-02,+143%
2010-10-03 - 2010-10-09,+143%
2010-10-10 - 2010-10-16,+167%
2010-10-17 - 2010-10-23,+167%
2010-10-24 - 2010-10-30,+224%
2010-10-31 - 2010-11-06,+200%
2010-11-07 - 2010-11-13,+200%
2010-11-14 - 2010-11-20,+176%
2010-11-21 - 2010-11-27,+176%
2010-11-28 - 2010-12-04,+176%
2010-12-05 - 2010-12-11,+195%
2010-12-12 - 2010-12-18,+205%
2010-12-19 - 2010-12-25,+290%
2010-12-26 - 2011-01-01,+252%
2011-01-02 - 2011-01-08,+171%
2011-01-09 - 2011-01-15,+152%
2011-01-16 - 2011-01-22,+148%
2011-01-23 - 2011-01-29,+157%
