Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Performing Arts
2010-10-10 - 2010-10-16,+8%
2010-10-17 - 2010-10-23,+10%
2010-10-24 - 2010-10-30,+8%
2010-10-31 - 2010-11-06,+18%
2010-11-07 - 2010-11-13,+0%
2010-11-14 - 2010-11-20,+8%
2010-11-21 - 2010-11-27,+18%
2010-11-28 - 2010-12-04,+10%
2010-12-05 - 2010-12-11,+22%
2010-12-12 - 2010-12-18,+24%
2010-12-19 - 2010-12-25,+36%
2010-12-26 - 2011-01-01,+42%
2011-01-02 - 2011-01-08,+22%
2011-01-09 - 2011-01-15,+16%
2011-01-16 - 2011-01-22,+10%
2011-01-23 - 2011-01-29,+14%
2011-01-30 - 2011-02-05,+54%
2011-02-06 - 2011-02-12,+22%
2011-02-13 - 2011-02-19,+4%
2011-02-20 - 2011-02-26,+12%
2011-02-27 - 2011-03-05,+14%
2011-03-06 - 2011-03-12,+6%
2011-03-13 - 2011-03-19,-2%
2011-03-20 - 2011-03-26,+32%
2011-03-27 - 2011-04-02,+10%
2011-04-03 - 2011-04-09,+10%
2011-04-10 - 2011-04-16,+20%
2011-04-17 - 2011-04-23,+18%
2011-04-24 - 2011-04-30,+16%
2011-05-01 - 2011-05-07,+38%
2011-05-08 - 2011-05-14,+32%
2011-05-15 - 2011-05-21,+30%
2011-05-22 - 2011-05-28,+22%
2011-05-29 - 2011-06-04,+26%
2011-06-05 - 2011-06-11,+22%
2011-06-12 - 2011-06-18,+20%
2011-06-19 - 2011-06-25,+12%
2011-06-26 - 2011-07-02,+42%
2011-07-03 - 2011-07-09,+26%
2011-07-10 - 2011-07-16,+30%
2011-07-17 - 2011-07-23,+20%
2011-07-24 - 2011-07-30,+22%
2011-07-31 - 2011-08-06,+22%
2011-08-07 - 2011-08-13,+22%
2011-08-14 - 2011-08-20,+16%
2011-08-21 - 2011-08-27,+24%
2011-08-28 - 2011-09-03,+12%
2011-09-04 - 2011-09-10,+12%
2011-09-11 - 2011-09-17,+8%
2011-09-18 - 2011-09-24,+12%
2011-09-25 - 2011-10-01,+10%
2011-10-02 - 2011-10-08,+12%
2011-10-09 - 2011-10-15,+6%
2011-10-16 - 2011-10-22,+16%
2011-10-23 - 2011-10-29,+20%
2011-10-30 - 2011-11-05,+20%
2011-11-06 - 2011-11-12,+12%
2011-11-13 - 2011-11-19,+10%
2011-11-20 - 2011-11-26,+4%
2011-11-27 - 2011-12-03,+12%
2011-12-04 - 2011-12-10,+10%
2011-12-11 - 2011-12-17,+14%
2011-12-18 - 2011-12-24,+24%
2011-12-25 - 2011-12-31,+44%
2012-01-01 - 2012-01-07,+18%
2012-01-08 - 2012-01-14,+16%
2012-01-15 - 2012-01-21,+16%
2012-01-22 - 2012-01-28,+64%
2012-01-29 - 2012-02-04,+22%
2012-02-05 - 2012-02-11,+16%
2012-02-12 - 2012-02-18,+10%
2012-02-19 - 2012-02-25,+4%
2012-02-26 - 2012-03-03,+10%
2012-03-04 - 2012-03-10,+8%
2012-03-11 - 2012-03-17,+8%
2012-03-18 - 2012-03-24,+10%
2012-03-25 - 2012-03-31,+12%
2012-04-01 - 2012-04-07,+28%
2012-04-08 - 2012-04-14,+16%
2012-04-15 - 2012-04-21,+36%
2012-04-22 - 2012-04-28,+24%
2012-04-29 - 2012-05-05,+14%
2012-05-06 - 2012-05-12,+14%
2012-05-13 - 2012-05-19,+16%
2012-05-20 - 2012-05-26,+14%
2012-05-27 - 2012-06-02,+14%
2012-06-03 - 2012-06-09,+18%
2012-06-10 - 2012-06-16,+10%
2012-06-17 - 2012-06-23,+12%
2012-06-24 - 2012-06-30,+10%
2012-07-01 - 2012-07-07,+16%
2012-07-08 - 2012-07-14,+20%
2012-07-15 - 2012-07-21,+20%
2012-07-22 - 2012-07-28,+14%
2012-07-29 - 2012-08-04,+14%
2012-08-05 - 2012-08-11,+16%
2012-08-12 - 2012-08-18,+14%
2012-08-19 - 2012-08-25,+4%
2012-08-26 - 2012-09-01,+10%
2012-09-02 - 2012-09-08,+2%
2012-09-09 - 2012-09-15,-6%
2012-09-16 - 2012-09-22,-2%
2012-09-23 - 2012-09-29,+2%
2012-09-30 - 2012-10-06,+0%
2012-10-07 - 2012-10-13,-6%
2012-10-14 - 2012-10-20,-6%
2012-10-21 - 2012-10-27,-2%
2012-10-28 - 2012-11-03,-2%
2012-11-04 - 2012-11-10,-4%
2012-11-11 - 2012-11-17,+4%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
macau,100
broadway,55
百老匯,45
dance,30
venetian,20
opera,15
macau venetian,15
macau hotel,15
broadway hong kong,10
ballet,10
broadway hk,10
fortress,10
魔術,10
boardway,5
broadway cinema,5
macao,5
百老匯電影中心,5
galaxy macau,5
百老,5
magic,5



Rising searches
broadway cinema,Breakout
macau venetian,Breakout
venetian,Breakout
broadway hk,+200%
macao,+100%
macau,+100%
macau hotel,+100%
broadway,+90%
fortress,+80%
百老匯,+60%



