Web Search Interest
Germany; 2004 - present

Interest over time
Week,Winter Sports
2010-04-25 - 2010-05-01,-83%
2010-05-02 - 2010-05-08,-83%
2010-05-09 - 2010-05-15,-82%
2010-05-16 - 2010-05-22,-83%
2010-05-23 - 2010-05-29,-83%
2010-05-30 - 2010-06-05,-82%
2010-06-06 - 2010-06-12,-83%
2010-06-13 - 2010-06-19,-83%
2010-06-20 - 2010-06-26,-83%
2010-06-27 - 2010-07-03,-83%
2010-07-04 - 2010-07-10,-83%
2010-07-11 - 2010-07-17,-81%
2010-07-18 - 2010-07-24,-81%
2010-07-25 - 2010-07-31,-80%
2010-08-01 - 2010-08-07,-79%
2010-08-08 - 2010-08-14,-79%
2010-08-15 - 2010-08-21,-79%
2010-08-22 - 2010-08-28,-80%
2010-08-29 - 2010-09-04,-80%
2010-09-05 - 2010-09-11,-78%
2010-09-12 - 2010-09-18,-78%
2010-09-19 - 2010-09-25,-79%
2010-09-26 - 2010-10-02,-78%
2010-10-03 - 2010-10-09,-77%
2010-10-10 - 2010-10-16,-76%
2010-10-17 - 2010-10-23,-73%
2010-10-24 - 2010-10-30,-72%
2010-10-31 - 2010-11-06,-71%
2010-11-07 - 2010-11-13,-70%
2010-11-14 - 2010-11-20,-69%
2010-11-21 - 2010-11-27,-62%
2010-11-28 - 2010-12-04,-48%
2010-12-05 - 2010-12-11,-47%
2010-12-12 - 2010-12-18,-46%
2010-12-19 - 2010-12-25,-47%
2010-12-26 - 2011-01-01,-26%
2011-01-02 - 2011-01-08,-24%
2011-01-09 - 2011-01-15,-41%
2011-01-16 - 2011-01-22,-47%
2011-01-23 - 2011-01-29,-48%
2011-01-30 - 2011-02-05,-52%
2011-02-06 - 2011-02-12,-40%
2011-02-13 - 2011-02-19,-51%
2011-02-20 - 2011-02-26,-63%
2011-02-27 - 2011-03-05,-60%
2011-03-06 - 2011-03-12,-62%
2011-03-13 - 2011-03-19,-63%
2011-03-20 - 2011-03-26,-69%
2011-03-27 - 2011-04-02,-77%
2011-04-03 - 2011-04-09,-79%
2011-04-10 - 2011-04-16,-79%
