Web Search Interest
United States; 2004 - present

Interest over time
Week,Yard & Patio
2011-02-20 - 2011-02-26,+0%
2011-02-27 - 2011-03-05,+13%
2011-03-06 - 2011-03-12,+13%
2011-03-13 - 2011-03-19,+28%
2011-03-20 - 2011-03-26,+41%
2011-03-27 - 2011-04-02,+38%
2011-04-03 - 2011-04-09,+51%
2011-04-10 - 2011-04-16,+64%
2011-04-17 - 2011-04-23,+54%
2011-04-24 - 2011-04-30,+54%
2011-05-01 - 2011-05-07,+62%
2011-05-08 - 2011-05-14,+67%
2011-05-15 - 2011-05-21,+62%
2011-05-22 - 2011-05-28,+74%
2011-05-29 - 2011-06-04,+87%
2011-06-05 - 2011-06-11,+62%
2011-06-12 - 2011-06-18,+62%
2011-06-19 - 2011-06-25,+54%
2011-06-26 - 2011-07-02,+59%
2011-07-03 - 2011-07-09,+51%
2011-07-10 - 2011-07-16,+38%
2011-07-17 - 2011-07-23,+26%
2011-07-24 - 2011-07-30,+21%
2011-07-31 - 2011-08-06,+21%
2011-08-07 - 2011-08-13,+15%
2011-08-14 - 2011-08-20,+13%
2011-08-21 - 2011-08-27,+13%
2011-08-28 - 2011-09-03,+18%
2011-09-04 - 2011-09-10,+15%
2011-09-11 - 2011-09-17,+8%
2011-09-18 - 2011-09-24,+3%
2011-09-25 - 2011-10-01,+3%
2011-10-02 - 2011-10-08,+0%
2011-10-09 - 2011-10-15,-3%
2011-10-16 - 2011-10-22,-5%
2011-10-23 - 2011-10-29,-8%
2011-10-30 - 2011-11-05,-8%
2011-11-06 - 2011-11-12,-10%
2011-11-13 - 2011-11-19,-10%
2011-11-20 - 2011-11-26,-10%
2011-11-27 - 2011-12-03,-10%
2011-12-04 - 2011-12-10,-13%
2011-12-11 - 2011-12-17,-15%
2011-12-18 - 2011-12-24,-21%
2011-12-25 - 2011-12-31,-23%
2012-01-01 - 2012-01-07,-21%
2012-01-08 - 2012-01-14,-21%
2012-01-15 - 2012-01-21,-18%
2012-01-22 - 2012-01-28,-15%
2012-01-29 - 2012-02-04,-10%
2012-02-05 - 2012-02-11,-10%
2012-02-12 - 2012-02-18,-15%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,+5%
2012-03-04 - 2012-03-10,+21%
2012-03-11 - 2012-03-17,+41%
2012-03-18 - 2012-03-24,+59%
2012-03-25 - 2012-03-31,+59%
2012-04-01 - 2012-04-07,+56%
2012-04-08 - 2012-04-14,+54%
2012-04-15 - 2012-04-21,+69%
2012-04-22 - 2012-04-28,+56%
2012-04-29 - 2012-05-05,+59%
2012-05-06 - 2012-05-12,+64%
2012-05-13 - 2012-05-19,+69%
2012-05-20 - 2012-05-26,+79%
2012-05-27 - 2012-06-02,+82%
2012-06-03 - 2012-06-09,+64%
2012-06-10 - 2012-06-16,+69%
2012-06-17 - 2012-06-23,+56%
